tijdstip,aantal_files,totale_lengte_km,totale_vertraging_min,aantal_incidenten,aantal_wegwerkzaamheden
2026-07-10 12:33,51,190.6,533,0,54
2026-07-10 14:55,89,368.4,1156,0,58
2026-07-10 17:30,64,266.4,861,0,58
2026-07-10 19:23,5,13.4,69,0,58
2026-07-10 20:58,0,0.0,0,0,64
2026-07-10 22:26,1,2.2,15,0,93
2026-07-10 23:34,0,0.0,0,0,95
2026-07-11 00:37,0,0.0,0,0,95
2026-07-11 01:36,0,0.0,0,0,93
2026-07-11 03:04,0,0.0,0,0,93
2026-07-11 06:23,0,0.0,0,0,91
2026-07-11 08:33,0,0.0,0,0,91
2026-07-11 10:24,9,28.5,127,0,91
2026-07-11 11:56,29,89.0,290,0,91
2026-07-11 13:04,28,84.6,287,0,91
2026-07-11 14:01,31,103.5,382,0,91
2026-07-11 15:48,20,63.4,216,0,91
2026-07-11 16:41,10,28.7,123,0,91
2026-07-11 17:39,5,14.7,49,0,91
2026-07-11 18:33,0,0.0,0,0,32
2026-07-11 19:37,0,0.0,0,0,91
2026-07-11 20:32,0,0.0,0,0,91
2026-07-11 21:48,0,0.0,0,0,91
2026-07-11 22:33,0,0.0,0,0,94
2026-07-11 23:29,0,0.0,0,0,95
2026-07-12 00:24,0,0.0,0,0,96
2026-07-12 01:25,0,0.0,0,0,95
2026-07-12 03:02,0,0.0,0,0,94
2026-07-12 06:34,0,0.0,0,0,91
2026-07-12 09:11,1,2.3,10,0,90
2026-07-12 11:18,4,8.9,40,0,87
2026-07-12 12:46,8,24.5,78,0,83
2026-07-12 13:46,8,21.1,78,0,83
2026-07-12 14:40,12,31.5,115,0,83
2026-07-12 16:17,9,24.8,95,0,83
2026-07-12 17:27,4,10.0,44,0,83
2026-07-12 18:28,2,3.8,23,0,83
2026-07-12 19:33,1,2.0,11,0,82
2026-07-12 20:31,4,12.7,60,0,83
2026-07-12 21:46,3,10.2,46,0,84
2026-07-12 22:29,1,3.2,6,0,80
2026-07-13 00:14,0,0.0,0,0,81
2026-07-13 01:11,0,0.0,0,0,81
2026-07-13 02:13,0,0.0,0,0,78
2026-07-13 06:03,1,3.7,8,0,59
2026-07-13 09:33,17,53.3,157,0,25
2026-07-13 12:41,24,80.9,324,0,57
2026-07-13 15:07,46,163.2,493,0,57
2026-07-13 17:50,65,274.0,824,0,57
2026-07-13 19:51,3,12.1,54,0,55
2026-07-13 21:18,1,3.3,26,0,10
2026-07-13 22:36,0,0.0,0,0,74
2026-07-13 23:32,0,0.0,0,0,76
2026-07-14 00:32,0,0.0,0,0,76
2026-07-14 01:30,0,0.0,0,0,75
2026-07-14 02:59,0,0.0,0,0,75
2026-07-14 06:09,4,10.4,36,0,62
2026-07-14 08:22,48,174.3,521,0,55
2026-07-14 10:34,10,42.2,141,0,55
2026-07-14 12:21,16,50.3,245,0,55
2026-07-14 13:52,18,69.1,317,0,55
2026-07-14 15:23,39,142.4,449,0,55
2026-07-14 17:07,73,305.6,928,0,55
2026-07-14 18:35,15,50.4,244,0,55
2026-07-14 19:44,3,9.1,43,0,55
2026-07-14 20:48,3,6.8,35,0,48
2026-07-14 22:00,0,0.0,0,0,66
2026-07-14 23:11,0,0.0,0,0,66
2026-07-15 00:15,0,0.0,0,0,68
2026-07-15 01:12,0,0.0,0,0,68
2026-07-15 02:07,0,0.0,0,0,68
2026-07-15 05:28,0,0.0,0,0,56
2026-07-15 07:54,27,108.2,416,0,55
2026-07-15 09:59,18,60.5,172,0,55
2026-07-15 12:10,11,36.0,130,0,55
2026-07-15 13:51,19,65.7,189,0,55
2026-07-15 15:27,38,149.7,488,0,55
2026-07-15 17:07,54,242.8,739,0,55
2026-07-15 18:43,8,22.3,72,0,55
2026-07-15 19:57,0,0.0,0,0,55
2026-07-15 21:12,1,3.6,7,0,58
2026-07-15 22:19,0,0.0,0,0,56
2026-07-15 23:26,0,0.0,0,0,58
2026-07-16 00:28,0,0.0,0,0,58
2026-07-16 01:31,0,0.0,0,0,58
2026-07-16 03:04,0,0.0,0,0,48
2026-07-16 06:20,5,20.9,60,0,55
2026-07-16 08:40,31,114.7,381,0,55
2026-07-16 11:04,6,16.2,72,0,55
2026-07-16 13:08,13,41.7,166,0,53
2026-07-16 14:47,28,97.0,262,0,53
2026-07-16 16:48,52,201.6,640,0,47
2026-07-16 18:05,34,120.1,428,0,53
2026-07-16 19:36,1,1.3,3,0,53
2026-07-16 20:44,1,2.6,17,0,56
2026-07-16 21:47,1,3.9,15,0,59
2026-07-16 22:37,1,3.1,10,0,59
2026-07-16 23:42,0,0.0,0,0,61
2026-07-17 00:41,0,0.0,0,0,60
2026-07-17 01:41,0,0.0,0,0,57
2026-07-17 03:14,0,0.0,0,0,57
2026-07-17 06:27,2,6.8,21,0,50
2026-07-17 08:39,0,0.0,0,0,50
2026-07-17 10:56,30,97.4,288,0,50
2026-07-17 12:45,52,185.1,648,0,51
2026-07-17 13:59,69,248.8,823,0,51
2026-07-17 15:54,71,281.8,881,0,51
2026-07-17 17:10,42,148.3,441,0,51
2026-07-17 18:35,5,16.4,49,0,51
2026-07-17 19:42,2,3.5,21,0,51
2026-07-17 20:42,4,8.1,42,0,54
2026-07-17 21:50,1,1.4,12,0,60
2026-07-17 22:49,0,0.0,0,0,56
2026-07-17 23:37,1,2.2,7,0,61
2026-07-18 00:29,0,0.0,0,0,61
2026-07-18 01:26,0,0.0,0,0,61
2026-07-18 02:55,0,0.0,0,0,61
2026-07-18 05:52,0,0.0,0,0,61
2026-07-18 08:01,0,0.0,0,0,61
2026-07-18 10:05,5,16.8,50,0,59
2026-07-18 11:42,21,71.9,212,0,56
2026-07-18 12:50,20,71.0,236,0,56
2026-07-18 13:50,29,101.7,337,0,56
2026-07-18 15:04,17,51.9,152,0,54
2026-07-18 16:22,4,8.2,38,0,54
2026-07-18 17:28,3,7.8,53,0,54
2026-07-18 18:28,1,3.9,10,0,54
2026-07-18 19:31,0,0.0,0,0,54
2026-07-18 20:32,0,0.0,0,0,13
2026-07-18 21:47,0,0.0,0,0,62
2026-07-18 22:32,0,0.0,0,0,62
2026-07-18 23:29,0,0.0,0,0,62
2026-07-19 00:26,0,0.0,0,0,62
2026-07-19 01:25,0,0.0,0,0,62
2026-07-19 02:58,0,0.0,0,0,62
2026-07-19 06:24,0,0.0,0,0,62
2026-07-19 09:03,1,1.8,12,0,62
2026-07-19 11:13,3,7.0,47,0,54
2026-07-19 12:45,7,20.8,81,0,54
2026-07-19 13:44,6,18.9,74,0,54
2026-07-19 14:38,6,13.6,54,0,54
2026-07-19 16:09,2,3.6,23,0,54
2026-07-19 17:13,3,5.4,39,0,54
2026-07-19 18:12,2,3.6,23,0,54
2026-07-19 19:18,1,1.3,11,0,18
2026-07-19 20:12,1,1.3,11,0,54
2026-07-19 21:34,2,4.6,34,0,54
2026-07-19 22:26,1,2.5,10,0,54
2026-07-19 23:24,0,0.0,0,0,54
2026-07-20 00:23,0,0.0,0,0,54
2026-07-20 01:27,0,0.0,0,0,54
2026-07-20 03:05,0,0.0,0,0,54
2026-07-20 06:47,5,12.1,39,0,53
2026-07-20 09:47,6,22.1,78,0,53
2026-07-20 12:33,27,96.9,333,0,53
2026-07-20 14:36,32,122.0,391,0,53
2026-07-20 16:53,40,167.6,537,0,53
2026-07-20 18:21,6,17.2,67,0,53
2026-07-20 20:27,0,0.0,0,0,59
2026-07-20 22:07,0,0.0,0,0,74
2026-07-20 23:20,0,0.0,0,0,74
2026-07-21 00:29,0,0.0,0,0,74
2026-07-21 01:33,0,0.0,0,0,60
2026-07-21 03:03,0,0.0,0,0,2
2026-07-21 06:26,0,0.0,0,0,50
2026-07-21 09:06,3,15.9,83,0,50
2026-07-21 11:35,7,13.5,56,0,50
2026-07-21 13:26,5,13.2,49,0,50
2026-07-21 14:53,8,28.2,114,0,50
2026-07-21 17:00,50,161.7,497,0,50
2026-07-21 18:38,6,27.8,90,0,50
2026-07-21 19:57,1,2.1,9,0,51
2026-07-21 21:25,1,2.1,9,0,68
2026-07-21 22:43,0,0.0,0,0,78
2026-07-21 23:46,0,0.0,0,0,78
2026-07-22 00:39,0,0.0,0,0,78
2026-07-22 01:39,0,0.0,0,0,77
2026-07-22 03:06,0,0.0,0,0,76
2026-07-22 06:29,3,10.4,25,0,47
2026-07-22 09:14,3,9.9,46,0,47
2026-07-22 11:40,12,37.6,132,0,47
2026-07-22 13:31,17,53.8,193,0,47
2026-07-22 15:07,24,77.0,287,0,47
2026-07-22 17:14,33,121.5,443,0,47
2026-07-22 18:50,4,10.8,46,0,47
2026-07-22 20:05,0,0.0,0,0,48
2026-07-22 21:39,0,0.0,0,0,59
2026-07-22 22:44,0,0.0,0,0,61
2026-07-22 23:53,0,0.0,0,0,61
2026-07-23 00:44,0,0.0,0,0,61
2026-07-23 01:44,0,0.0,0,0,61
2026-07-23 03:16,0,0.0,0,0,61
2026-07-23 06:38,3,8.0,17,0,47
2026-07-23 09:16,9,24.4,114,0,47
2026-07-23 11:40,11,30.0,150,0,47
2026-07-23 13:31,6,17.7,71,0,47
2026-07-23 15:10,15,45.3,165,0,47
2026-07-23 17:26,33,117.4,374,0,47
2026-07-23 18:57,6,13.4,69,0,47
2026-07-23 20:12,1,1.5,12,0,47
2026-07-23 21:48,0,0.0,0,0,59
2026-07-23 22:45,0,0.0,0,0,61
2026-07-23 23:46,0,0.0,0,0,62
2026-07-24 00:40,0,0.0,0,0,62
2026-07-24 01:42,0,0.0,0,0,62
2026-07-24 03:11,0,0.0,0,0,62
2026-07-24 06:35,2,5.2,12,0,48
2026-07-24 09:14,1,7.4,39,0,48
2026-07-24 11:36,27,92.2,278,0,48
2026-07-24 13:20,34,152.2,513,0,48
2026-07-24 14:55,43,184.8,535,0,48
2026-07-24 16:51,33,122.1,422,0,49
2026-07-24 18:32,6,20.1,78,0,49
2026-07-24 19:59,1,4.4,9,0,49
2026-07-24 21:37,1,11.2,68,0,64
2026-07-24 22:48,0,0.0,0,0,49
2026-07-24 23:48,0,0.0,0,0,59
